Adresse,Prix,Ville,Région,Chambres,Salles de bain,Salles d'eau,Étages,Aire habitable,Taille terrain,Taxes municipales,Taxes scolaires,Électricité,Assurances
"309-901, RUE DE LA COMMUNE E",738000.0,Ville-Marie (Centre-Ville et Vieux-Montréal),Montréal / l'Île,1,1,1,3,57.14,766.9,3083.6,404.54,652.0,396.0
"301-1869, rue des Bassins",599000.0,Griffintown,Montréal / l'Île,2,1,1,1,81.9,766.9,3996.0,422.28,585.73,549.88
"302-14240, rue Notre-Dame Est",325000.0,Pointe-Aux-Trembles / Montréal-Est,Montréal / l'Île,2,1,1,1,76.18,766.9,1523.0,160.0,250.0,500.0
"1397, rue du Collège",450000.0,Acton Vale,Montérégie (Rive-Sud Montréal),4,2,1,1,109.07,1149.86,2743.0,225.0,1740.0,1150.5
"7-1293, rue Labelle",279000.0,Mont-Tremblant,Laurentides,1,1,1,1,49.5,766.9,2195.0,79.0,762.0,1150.5
"291, rue Notre-Dame",285000.0,ND-De-La-Paix,Outaouais,2,1,1,2,112.04,1957.7,1147.59,79.41,1740.0,1150.5
"3, rue Saint-Émile",628900.0,Ste-Brigitte-De-Laval,Québec Rive-Nord,4,1,1,2,241.55,3251.61,2778.46,275.0,1740.0,1150.5
", 5e rang Ouest",275000.0,Les Hauteurs,Bas-Saint-Laurent,4,2,1,2,117.06,766.9,932.1,45.44,1740.0,1150.5
"735, Du Jaspe",599999.0,Ascot Corner,Estrie,3,1,1,2,181.16,4987.04,3480.0,323.0,3600.0,1150.5
Unité 509 - 3155 Avenue Parkville,389800.0,Mercier / Hochelaga / Maisonneuve,Montréal / l'Île,1,1,1,1,60.39,766.9,2778.46,275.0,1740.0,1150.5
"3622, AV DU HOUX",383000.0,Charlesbourg,Québec Rive-Nord,4,2,1,1,90.44,622.45,2838.54,231.25,2556.0,1237.15
"12310, 62e Avenue",530000.0,Rivière des Prairies,Montréal / l'Île,4,2,1,1,117.06,486.81,2537.07,275.0,1740.0,1150.5
"164, rue des Pruniers",445000.0,Lévis,Québec Rive-Sud (Lévis),3,2,1,1,117.06,796.6,3328.95,291.18,2700.0,1150.5
"312, Rue Principale",120000.0,St-Robert,Montérégie (Rive-Sud Montréal),4,2,1,2,117.06,1402.28,2778.46,275.0,1740.0,1150.5
"115, rue Radisson",50000.0,St-Calixte,Lanaudière,4,2,1,2,117.06,3716.12,2778.46,275.0,1740.0,1150.5
"365, chemin du Lac-Sinclair",430000.0,La Pêche (Duclos),Outaouais,3,1,1,2,102.19,766.9,1900.0,180.0,600.0,1700.0
", rue du Sergent-Arthur-Boucher",145000.0,Magog,Estrie,4,2,1,2,117.06,545.9,698.83,29.56,1740.0,1150.5
"2017, rue Marcel",650000.0,St-Jérôme (Bellefeuille),Laurentides,5,1,1,2,175.31,1505.49,3404.0,291.0,3000.0,1150.5
"2330, rang du Bord de l'Eau",563000.0,Ste-Clotilde-De-Horton,Centre-du-Québec,3,2,1,2,145.67,3754.21,2469.0,206.0,3800.0,1400.0
"11835, rue Sainte-Catherine Est",739000.0,Pointe-Aux-Trembles / Montréal-Est,Montréal / l'Île,2,1,1,2,117.06,395.95,3486.12,399.09,2616.0,1150.5
"1880, rue de Beaurivage",699900.0,Mercier / Hochelaga / Maisonneuve,Montréal / l'Île,3,1,1,2,117.06,278.71,2778.46,275.0,1740.0,1150.5
"139, rue de Chablis",565000.0,Terrebonne (Lachenaie),Lanaudière,3,2,1,1,104.3,431.3,2960.0,247.0,1740.0,1150.5
"930, rue du Damier-Argenté",565000.0,La Prairie,Montérégie (Rive-Sud Montréal),2,1,1,1,101.36,766.9,2917.0,344.0,1740.0,1150.5
"424, rue Principale",680000.0,Ste-Dorothée,Laval,6,3,1,1,161.65,766.9,3162.14,322.93,1995.0,860.0
"76, rue du Gui",798000.0,Cantley,Outaouais,4,3,1,1,102.38,7067.9,5057.59,455.88,3240.0,2300.0
"17, chemin d'Estérel",729000.0,Esterel,Laurentides,3,2,1,1,178.84,3994.83,3949.0,325.0,1740.0,1150.5
"203-1660, rue Claire-Bonenfant",359900.0,Lebourgneuf,Québec Rive-Nord,2,1,1,1,109.3,766.9,3007.57,236.44,650.0,430.0
"336, rue des Marguerites",619000.0,St-Amable,Montérégie (Rive-Sud Montréal),4,2,1,2,132.85,467.3,3017.0,287.0,3000.0,1150.5
"965, rue Vinet",635000.0,Beloeil,Montérégie (Rive-Sud Montréal),3,2,1,1,109.25,810.67,3172.52,326.02,3600.0,1150.5
"200-806, RUE DE LA SOEUR-MARIE-ROSE",399000.0,Terrebonne (Lachenaie),Lanaudière,2,1,1,1,103.2,766.9,2721.22,218.37,1740.0,1150.5
"202-214, rue Chénier",435000.0,Saint-Sauveur,Québec Rive-Nord,6,4,1,2,117.06,143.2,5078.57,305.84,1000.0,2889.24
rue Lalonde,683000.0,Mercier,Montérégie (Rive-Sud Montréal),3,2,1,2,159.79,766.9,2778.46,275.0,1740.0,1150.5
"1178, 45e Avenue",479900.0,Fabreville,Laval,3,1,1,2,111.5,766.9,2405.0,360.0,1440.0,600.0
"1331, Rue Alice-Campbell",522253.24,Sherbrooke (Jacques-Cartier),Estrie,3,2,1,1,85.66,485.9,2778.46,275.0,1740.0,1150.5
"55, rue Edward Sud",699900.0,Chateauguay,Montérégie (Rive-Sud Montréal),3,1,1,2,136.94,687.4,2778.46,275.0,1740.0,1150.5
"4960, RUE JACQUES-PORLIER",729000.0,Mercier / Hochelaga / Maisonneuve,Montréal / l'Île,3,2,1,2,139.35,483.1,4143.0,506.0,1630.0,898.0
"494, Lamontagne",829000.0,St-Jérôme (Bellefeuille),Laurentides,4,3,1,1,116.31,1662.59,5097.79,416.87,2587.0,2218.0
"204-319, Chemin du Panorama",660000.0,Potton (Mansonville),Estrie,3,2,1,1,100.06,766.9,2778.46,275.0,500.0,1150.5
650 boulevard Carmel,308571.0,Terrebonne (Terrebonne),Lanaudière,1,1,1,1,76.83,766.9,2778.46,275.0,1740.0,1150.5
"138, rue du Vallon",325000.0,St-Joseph-De-Beauce,Chaudière-Appalaches,3,1,1,1,93.65,877.9,3101.89,159.38,1740.0,1150.5
"102-823, BOUL LE BOURG-NEUF",308999.0,Repentigny (Le Gardeur),Lanaudière,2,1,1,1,117.06,766.9,2100.0,150.0,1740.0,1150.5
"2260, rue Suzanne-Langevin",395000.0,Shawinigan (Shawinigan-Sud),Mauricie,5,2,1,1,114.27,766.9,2778.46,275.0,1740.0,1150.5
"72, chemin Meunier",385000.0,Austin,Estrie,4,2,1,2,117.06,42144.07,530.03,113.74,1740.0,1150.5
"3349, rue Jean-Cabot",659000.0,Ste-Foy,Québec Rive-Nord,4,2,1,1,108.7,603.87,3473.0,318.0,2640.0,1150.5
"1570, rue Antoinette-de-Pons",449000.0,Neufchatel,Québec Rive-Nord,3,2,1,2,114.19,766.9,3524.56,292.22,1200.0,1150.5
"143, rue Langlois",340000.0,Gatineau (Gatineau),Outaouais,2,2,1,1,72.46,766.9,2215.82,145.0,700.0,700.0
"441, rue du Châtelain",260000.0,Ste-Marthe-Sur-Le-Lac,Laurentides,2,1,1,1,93.09,766.9,1603.0,132.0,1740.0,1150.5
"105, rue Drapeau",169000.0,L'Ange-Gardien,Québec Rive-Nord,3,1,1,1,91.04,435.44,1763.0,116.0,1800.0,700.0
"815, rue de la Coulange",549000.0,Drummondville (St-Charles-De-Drummond),Centre-du-Québec,5,2,1,1,151.99,739.6,3194.07,288.2,1740.0,1150.5
"4290, rue Brousseau",385000.0,Drummondville (Drummondville),Centre-du-Québec,2,1,1,1,123.65,766.9,2529.79,154.22,1200.0,510.61
"245, 12e Rang",659000.0,Stoke,Estrie,5,2,1,1,117.06,766.9,3655.0,425.0,1740.0,1150.5
"553, 5e rue",249900.0,Limoilou,Québec Rive-Nord,3,1,1,1,117.06,232.26,2778.46,275.0,1740.0,1150.5
"728, rue Latour",399000.0,St-Jérôme (St-Antoine),Laurentides,4,2,1,2,180.6,464.52,2300.0,130.0,2500.0,1150.5
"63, chemin du Richelieu",899000.0,McMasterville,Montérégie (Rive-Sud Montréal),2,2,1,2,236.53,966.66,5791.04,687.0,858.63,1150.5
"39, rue Larose",199900.0,St-Antoine-sur-Richelieu,Montérégie (Rive-Sud Montréal),4,2,1,2,117.06,752.51,565.0,102.0,1740.0,1150.5
"606, Rue du Chardonnay",380000.0,Ste-Marthe-Sur-Le-Lac,Laurentides,2,1,1,1,115.39,766.9,2128.31,193.0,1740.0,1150.5
"290, rue Françoise-Loranger",799000.0,Mont-St-Hilaire,Montérégie (Rive-Sud Montréal),4,2,1,2,117.06,766.9,4240.0,418.82,3600.0,1150.5
"371, boulevard Forillon",265000.0,Gaspé,Gaspésie-Îles-de-la-Madeleine,2,1,1,2,71.35,1045.16,1600.0,100.0,900.0,1150.5
"511, 7e Rue",495000.0,Louiseville,Mauricie,4,2,1,1,112.32,766.9,4053.96,280.06,4328.0,1150.5
"B-2230, Chemin du Foulon",835000.0,Sillery,Québec Rive-Nord,3,2,1,2,173.82,2798.08,2778.46,275.0,1740.0,1150.5
"655, rue des Mésanges",435000.0,Ste-Agathe-Des-Monts,Laurentides,2,1,1,1,106.84,1588.7,2920.62,163.56,1500.0,800.0
"4443, rue Chapleau",550000.0,Le Plateau-Mont-Royal,Montréal / l'Île,2,1,1,1,92.9,92.9,1834.0,200.0,1300.0,800.0
"108, rue Hébert",335000.0,Windsor,Estrie,4,1,1,2,117.06,1388.99,3119.0,175.0,1740.0,1150.5
"10599-10601, avenue Royale",245000.0,Ste-Anne-de-Beaupré,Québec Rive-Nord,3,1,1,2,117.06,766.9,3450.0,156.0,2000.0,1200.0
"550, rue Boisvert",399000.0,Donnacona,Portneuf,4,2,1,1,87.4,561.8,2612.0,189.0,2060.0,1150.5
"66, rue Laurier",439000.0,Ste-Catherine-de-la-JC,Québec Rive-Nord,5,1,1,2,117.3,86115.3,3093.08,279.5,1320.0,1415.91
"5300, rue Tremblay",569900.0,ND-Du-Mont-Carmel,Mauricie,2,1,1,1,167.23,1553.34,2778.46,275.0,1800.0,850.0
"300-1220, boulevard Lucille-Teasdale",381000.0,Terrebonne (Lachenaie),Lanaudière,2,1,1,1,88.2,766.9,3448.0,236.05,1740.0,1150.5
"127, rue Émond",588000.0,Varennes,Montérégie (Rive-Sud Montréal),5,2,1,1,91.04,557.4,2211.0,287.0,1740.0,1150.5
"16280, 10e Avenue",699000.0,St-Georges,Chaudière-Appalaches,3,2,1,1,260.13,766.9,6097.0,542.0,1740.0,1150.5
"102-2600, chemin du Parc",288000.0,Orford,Estrie,1,1,1,1,56.8,0.09,1605.0,142.0,1050.0,1150.5
"507, rue des Saules",510000.0,Beauharnois (Maple Grove),Montérégie (Rive-Sud Montréal),4,1,1,2,117.06,766.9,2000.0,250.0,684.0,500.0
"302-86, rue Front",214900.0,Gatineau (Aylmer),Outaouais,2,1,1,1,68.28,129.1,1375.0,83.0,1740.0,360.0
"104-90, rue Front",209900.0,Gatineau (Aylmer),Outaouais,2,1,1,1,68.28,129.1,1375.0,83.0,1740.0,360.0
"1101, chemin de Montréal Ouest",2000000.0,Gatineau (Masson-Angers),Outaouais,16,10,1,2,117.06,274.55,15760.0,1045.0,1740.0,5541.0
"147, rue de Mirabel",389900.0,Gatineau (Gatineau),Outaouais,3,1,1,2,125.79,320.2,2671.0,174.0,1200.0,600.0
"7-444, rue de l'Iris",292500.0,Granby,Estrie,2,1,1,1,96.71,766.9,2778.46,275.0,1740.0,1150.5
"103-4994, rue Lionel-Groulx",563000.0,St-Augustin-De-Desmaures,Québec Rive-Nord,2,2,1,1,172.99,766.9,4965.76,416.44,1031.95,503.64
"304-1694, rue de l'Estran",439500.0,St-Nicolas,Québec Rive-Sud (Lévis),2,1,1,1,135.36,766.9,3341.1,288.0,1740.0,1150.5
"X, rue Bellegarde",139000.0,Magog,Estrie,4,2,1,2,117.06,1858.06,213.2,275.0,1740.0,1150.5
"3143, rue des Chèvrefeuilles",248500.0,Jonquière (Arvida),Saguenay-Lac-Saint-Jean,2,2,1,1,56.76,362.32,2428.74,275.0,1500.0,1150.5
"783, avenue Bergeron",635000.0,Roberval,Saguenay-Lac-Saint-Jean,4,2,2,2,190.27,1174.94,4600.0,275.0,3200.0,2000.0
"101, rue Monique",895000.0,Shefford,Estrie,4,2,1,2,328.13,4049.92,3544.67,415.41,2810.0,1150.5
"61-63, 48e Avenue",429000.0,St-Côme,Lanaudière,4,2,1,2,117.06,603.87,159.0,2923.0,2774.0,1391.0
"7-331, rue de l'Aigle",774000.0,Carignan,Montérégie (Rive-Sud Montréal),2,1,1,1,125.05,766.9,3507.86,454.03,600.0,600.0
"81, rue du Pinacle",578800.0,ND-De-L'Ile-Perrot,Montérégie Ouest,3,1,1,2,131.18,766.9,2778.46,275.0,1740.0,1150.5
"3720, rue Bélair",1360000.0,Villeray / St-Michel / Parc-Extension,Montréal / l'Île,2,1,1,2,117.06,766.9,7671.3,981.63,280.0,5792.0
"340, rue des Bois",328000.0,St-Apollinaire,Chaudière-Appalaches,3,1,1,1,117.06,3768.6,2608.0,223.0,1750.0,1150.5
"637, chemin de la Rivière-aux-pommes",299000.0,Donnacona,Portneuf,2,1,1,2,62.71,2136.77,1229.96,102.47,920.82,380.0
"170, boulevard de la Fourche",689000.0,La Prairie,Montérégie (Rive-Sud Montréal),2,2,1,1,111.48,487.74,3441.03,441.38,3000.0,1150.5
"5541, rue Bannantyne",375000.0,Verdun,Montréal / l'Île,1,1,1,1,57.32,766.9,2778.46,275.0,1740.0,1150.5
"1788, chemin des Eaux-Vives",895000.0,St-Adolphe-D'Howard,Laurentides,5,2,1,3,192.31,2631.57,5780.0,906.0,3891.0,1750.0
"216-1920, RUE ADONCOUR",358900.0,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),1,1,1,4,71.7,766.9,1873.29,180.69,814.0,1150.5
"3375, rue D'Ankara",1250000.0,Auteuil,Laval,4,3,1,2,245.45,710.62,6320.0,765.0,4500.0,1700.0
"4149, rue des Fougères",245000.0,Lévis,Québec Rive-Sud (Lévis),2,1,1,1,117.06,667.04,2030.0,153.0,1285.0,576.0
"401-1, boulevard de Maisonneuve Ouest",283000.0,Ville-Marie (Centre-Ville et Vieux-Montréal),Montréal / l'Île,1,1,1,4,24.71,766.9,1341.0,162.2,373.0,753.0
"360, rue Généreux",549000.0,Berthierville,Lanaudière,5,2,1,1,121.24,766.9,3233.0,273.32,2435.0,1200.0
"15641, rue Rolland",459900.0,Mirabel (St-Augustin),Laurentides,4,2,1,1,92.9,639.3,1400.0,230.0,1740.0,1150.5
"1859, rue de Guyenne",545000.0,Lévis,Québec Rive-Sud (Lévis),3,1,1,2,167.29,399.75,3697.51,369.75,1740.0,1150.5
"2623-2, chemin du Plateau Nord",149900.0,La Baie,Saguenay-Lac-Saint-Jean,3,1,1,1,83.61,650.32,1531.0,69.08,1200.0,1150.5
"5395, rue de Cherbourg",424000.0,Trois-Rivières (Trois-Rivières-Ouest),Mauricie,4,2,1,3,96.83,766.9,2715.0,165.0,2640.0,1300.0
"298, chemin des Bains",649000.0,St-Irenee,Charlevoix,3,1,1,2,130.06,570.4,3610.75,310.69,1800.0,798.0
"4997, chemin Durocher",159000.0,Ste-Agathe-Des-Monts,Laurentides,4,2,1,2,117.06,7871.02,441.61,21.91,1740.0,1150.5
"7, rue Warren",295000.0,Sherbrooke (Lennoxville),Estrie,3,1,1,2,133.82,766.9,2038.11,125.35,3029.0,1150.5
"210, rue Émélie-Bolduc",260000.0,Ste-Émélie-De-L'Énergie,Lanaudière,3,1,1,1,69.68,710.71,1883.0,70.77,1759.68,1150.5
"850, rue Atateken",829000.0,Ville-Marie (Centre-Ville et Vieux-Montréal),Montréal / l'Île,3,1,1,2,154.22,766.9,4646.33,614.48,1394.48,1150.5
"749, PLACE DE QUÉNÉBLAY",449500.0,Roxton Pond,Estrie,3,2,1,1,93.83,766.9,2370.0,230.0,1377.0,840.0
"1507, rue Marcel-Marcotte",715000.0,Sherbrooke (Rock Forest),Estrie,4,1,1,2,253.63,613.16,4289.05,341.17,2552.08,1450.0
"538-540, rue Colbert",471000.0,Sherbrooke (Rock Forest),Estrie,4,2,1,2,117.06,733.93,4984.0,278.3,960.0,650.0
"41-43-45, rue de la Petite-Rivière",679000.0,Lavaltrie,Lanaudière,9,3,1,2,117.06,618.46,6127.0,412.0,1740.0,1500.0
"798, boulevard des Seigneurs-Dumont",350000.0,St-Jérôme (St-Jérôme),Laurentides,2,1,1,2,115.29,766.9,2087.72,181.4,1740.0,1150.5
"32, RUE EMILE-ZOLA",550000.0,Gatineau (Aylmer),Outaouais,4,2,1,1,105.72,801.2,4094.0,302.41,1680.0,766.0
Unité 608 - 7480 Boulevard Taschereau,492000.0,Brossard,Montérégie (Rive-Sud Montréal),2,2,1,1,75.34,766.9,2778.46,275.0,1740.0,1150.5
"13, rue Flaubert",22.0,Lévis,Québec Rive-Sud (Lévis),4,2,1,2,117.06,972.23,3099.0,143.0,1740.0,1150.5
"2760, boulevard Thibeau",378000.0,Trois-Rivières (St-Louis-De-France),Mauricie,4,2,1,2,206.62,1326.75,2742.13,165.0,165.16,767.0
"796, rue du Fleuve",869000.0,Rimouski (Pointe-Au-Père),Bas-Saint-Laurent,7,4,1,2,312.15,1517.9,5560.7,466.88,2400.6,1150.5
"710, avenue du Brabant",790000.0,Ste-Foy,Québec Rive-Nord,12,5,1,2,117.06,804.73,7764.0,640.0,2136.0,1150.5
"12-1270, boulevard de Montarville",498000.0,Boucherville,Montérégie (Rive-Sud Montréal),3,1,1,2,127.93,246.66,2222.0,285.0,1400.0,1150.5
"2143, BOUL JEAN-PAUL-VINCENT",332000.0,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),2,1,1,1,80.3,766.9,1978.0,192.82,1740.0,1150.5
"130, rue Claude-Faille",839000.0,La Prairie,Montérégie (Rive-Sud Montréal),5,2,1,2,163.79,519.51,3889.53,526.2,2420.0,1195.0
"3, chemin de la Promenade",895000.0,Lac-Beauport,Québec Rive-Nord,5,1,1,2,117.06,642.9,4652.0,262.0,1600.0,1150.5
"145, rue Jean-Guy",280000.0,St-Étienne-De-Beauharnois,Montérégie (Rive-Sud Montréal),4,2,1,2,117.06,2867.45,890.0,74.0,1740.0,1150.5
"755, boulevard Jacques-Cartier Nord",489000.0,Sherbrooke (Jacques-Cartier),Estrie,2,1,2,2,173.45,461.17,3029.0,226.0,1783.0,591.0
"149, rue Saint-Charles",249200.0,Maskinonge,Mauricie,4,1,1,2,117.06,1005.83,1125.46,31.02,2700.0,1395.0
"24, rue de la Randonnée",718000.0,Boischatel,Québec Rive-Nord,4,2,1,2,117.06,559.46,4743.46,414.79,2200.0,1150.5
"311, rue de Yamaska",699000.0,Bromont,Estrie,4,1,2,3,190.64,468.42,2727.61,258.23,1200.0,1150.5
574 rue René-Richard,320697.0,St-Étienne-De-Lauzon,Québec Rive-Sud (Lévis),2,1,1,2,117.06,412.77,2778.46,275.0,1740.0,1150.5
"2-635, rue des Sureaux",799000.0,Boucherville,Montérégie (Rive-Sud Montréal),3,1,1,1,164.07,73009.76,3723.76,509.96,702.45,426.19
"341-2, boulevard Bélanger",284990.0,Beaupré,Québec Rive-Nord,2,1,1,2,73.3,197.7,1656.0,109.0,660.0,1150.5
"1-209, rue Lavigueur",449000.0,St-Jean-Baptiste,Québec Rive-Nord,2,1,1,1,117.06,216.93,2778.46,275.0,1380.0,1150.5
"8240, Le Trait-Carré Ouest",449000.0,Charlesbourg,Québec Rive-Nord,4,2,1,2,193.24,398.18,3052.3,434.18,2411.0,1017.0
"560, rue Émile-Nelligan",749000.0,Boisbriand,Laurentides,4,2,1,2,185.81,759.5,3653.0,413.0,2684.0,1900.0
"1201, rue Daniel",458000.0,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),3,2,1,1,81.29,367.43,2271.19,225.15,1947.0,1150.5
"X, CH DU LAC-LA SALLE",180000.0,Val-Morin,Laurentides,4,2,1,2,117.06,6731.94,2778.46,275.0,1740.0,1150.5
"21, rue Dextradeur",430000.0,St-Jean-sur-Richelieu (St-Luc),Montérégie (Rive-Sud Montréal),4,2,1,1,83.61,766.9,2407.0,350.0,2120.0,1150.5
"7, RUE DES SAPINS",398000.0,La Durantaye,Chaudière-Appalaches,4,1,1,2,179.4,4135.9,2180.52,195.48,1740.0,1150.5
Rue des Monts,700000.0,St-Mathieu-De-Beloeil,Montérégie (Rive-Sud Montréal),4,2,1,2,139.35,766.9,2778.46,275.0,1740.0,1150.5
rue des Sables,380900.0,Ste-Catherine-de-la-JC,Québec Rive-Nord,5,2,1,2,117.06,464.52,2778.46,275.0,1740.0,1150.5
rue Irène-Paquet,364600.0,Ste-Catherine-de-la-JC,Québec Rive-Nord,5,3,2,2,117.06,882.58,2778.46,275.0,1740.0,1150.5
rue Robert-Laplante,358888.0,Ste-Catherine-de-la-JC,Québec Rive-Nord,5,1,1,1,117.06,929.03,2778.46,275.0,1740.0,1150.5
rue de la Création,359900.0,Trois-Rivières (Trois-Rivières-Ouest),Mauricie,3,1,1,2,138.43,464.52,2778.46,275.0,1740.0,1150.5
"155-157-159, avenue Ménard",299000.0,Roberval,Saguenay-Lac-Saint-Jean,7,3,1,2,117.06,419.92,3150.17,102.43,2028.0,1200.0
"822, rue John-F.-Kennedy",484950.0,Berthierville,Lanaudière,5,2,1,1,117.06,696.8,2045.49,147.02,2135.51,1072.92
"14, MONTEE DU PONT-BLEU",750000.0,Mille-Isles,Laurentides,4,2,1,2,185.81,5574.18,4086.0,433.0,2706.0,1150.5
"1-6600, rue de Chambéry",424900.0,Brossard,Montérégie (Rive-Sud Montréal),2,1,1,1,86.49,766.9,1756.0,212.4,756.0,1150.5
"7275-7277, rue de Pontoise",980000.0,Saint-Léonard,Montréal / l'Île,7,3,1,2,117.06,358.61,4340.0,486.0,1200.0,2944.0
"208-3775, rue Le Marié",245000.0,Ste-Foy,Québec Rive-Nord,2,1,1,1,85.1,766.9,2126.0,160.0,750.0,1150.5
"41, rue de Provence",390000.0,Gatineau (Gatineau),Outaouais,3,2,1,1,95.23,766.9,3086.88,216.01,1172.35,1200.0
"903, avenue Hartland",1129000.0,Outremont,Montréal / l'Île,4,2,1,1,179.49,339.65,5948.0,771.65,731.0,1241.0
"7505, rue des Violettes",649000.0,Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),4,2,1,2,150.97,449.93,3840.0,367.0,2800.0,600.0
"25, rue des Cormiers",395000.0,St-Apollinaire,Chaudière-Appalaches,3,1,1,2,126.72,766.9,2778.46,275.0,1740.0,1150.5
"301-560, rue des Voltigeurs",399900.0,Saint-Roch,Québec Rive-Nord,2,1,1,2,118.92,766.9,3414.0,286.0,1127.0,672.0
"2725, rue du Gouverneur",469000.0,Drummondville (Drummondville),Centre-du-Québec,4,2,1,1,97.55,539.95,2703.0,266.0,2575.0,1150.5
"12, chemin de l'Éléphant",289000.0,Canton de Stanstead,Estrie,4,2,1,2,117.06,20234.28,588.5,86.53,1740.0,1150.5
"3-18, rue Monseigneur-de-Laval",257000.0,Vieux-Québec,Québec Rive-Nord,1,1,1,1,66.24,766.9,2112.07,147.57,1280.0,1150.5
"3370, RUE DU CERF",1294000.0,Sherbrooke (Fleurimont),Estrie,4,3,1,3,290.97,766.9,5989.8,531.62,3498.3,3250.0
"7049, AV BALDWIN",729000.0,Anjou,Montréal / l'Île,3,2,1,2,118.92,198.81,3822.61,424.07,1418.02,1150.5
"762, RUE DE CHATEAUFORT",589000.0,Sherbrooke (Rock Forest),Estrie,4,1,1,2,161.65,603.87,3096.57,275.0,3228.0,1150.5
", Avenue Beaudoin",9.75,St-Raphael-de-Bellechasse,Chaudière-Appalaches,4,2,1,2,117.06,4954.24,1692.0,103.0,1740.0,1150.5
"5649, avenue Royale",289000.0,Boischatel,Québec Rive-Nord,3,1,1,1,117.06,6103.73,2778.46,227.1,1740.0,1150.5
", rue des Cimes",197000.0,Shefford,Estrie,4,2,1,2,117.06,6004.8,740.0,75.0,1740.0,1150.5
"6051, rue des Pluviers",295000.0,Contrecoeur,Montérégie (Rive-Sud Montréal),2,1,1,1,117.06,261.5,2279.64,120.87,1300.0,521.0
"14125, rue de Montigny",525000.0,Pointe-Aux-Trembles / Montréal-Est,Montréal / l'Île,3,1,1,2,117.06,766.9,2130.0,257.0,1740.0,1150.5
"154, chemin du Lac-de-l'Achigan",115000.0,St-Hippolyte,Laurentides,4,2,1,2,117.06,2357.41,234.0,10.0,1740.0,1150.5
"425, chemin Saint-Léon",45000.0,Rimouski (Ste-Odile-Sur-Rimouski),Bas-Saint-Laurent,4,2,1,2,117.06,766.9,330.99,10.05,1740.0,1150.5
"403, Rue Joseph-Couvrette",1185000.0,L'île-Bizard / Sainte-Geneviève,Montréal / l'Île,5,3,1,2,297.29,696.77,5757.0,323.0,2850.0,1150.5
"1742, avenue de Clignancourt",915000.0,St-Jérôme (St-Jérôme),Laurentides,4,2,1,2,218.47,607.03,3860.55,298.49,1740.0,1150.5
"1729, rue Lafortune",425000.0,L'Ancienne-Lorette,Québec Rive-Nord,3,2,1,1,92.9,500.1,2850.0,234.0,3455.0,1150.5
