Adresse,Prix,Ville,Région,Chambres,Salles de bain,Salles d'eau,Étages,Aire habitable,Taille terrain,Taxes municipales,Taxes scolaires,Électricité,Assurances
"637, chemin de la Rivière-aux-pommes",299 000 $,Donnacona,Portneuf,2,1,,2,675 pi² (62.71 m²),23 000 pi² (2 136.77 m²),"1 229,96 $","102,47 $","920,82 $","380,00 $"
"170, boulevard de la Fourche",689 000 $,La Prairie,Montérégie (Rive-Sud Montréal),2,2,,1,1 200 pi² (111.48 m²),5 250 pi² (487.74 m²),"3 441,03 $","441,38 $","3 000,00 $",
"5541, rue Bannantyne",375 000 $,Verdun,Montréal / l'Île,1,1,1,1,617.03 pi² (57.32 m²),,,,,
"1788, chemin des Eaux-Vives",895 000 $,St-Adolphe-D'Howard,Laurentides,5,2,1,3,2 070 pi² (192.31 m²),28 326 pi² (2 631.57 m²),"5 780,00 $","906,00 $","3 891,00 $","1 750,00 $"
"216-1920, RUE ADONCOUR",358 900 $,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),1,1,,4,771.8 pi² (71.7 m²),,"1 873,29 $","180,69 $","814,00 $",
"3375, rue D'Ankara",1 250 000 $,Auteuil,Laval,4,3,1,2,2 642 pi² (245.45 m²),7 649 pi² (710.62 m²),"6 320,00 $","765,00 $","4 500,00 $","1 700,00 $"
"4149, rue des Fougères",245 000 $,Lévis,Québec Rive-Sud (Lévis),02,1,1,1,,7 180 pi² (667.04 m²),"2 030,00 $","153,00 $","1 285,00 $","576,00 $"
"401-1, boulevard de Maisonneuve Ouest",283 000 $,Ville-Marie (Centre-Ville et Vieux-Montréal),Montréal / l'Île,1,1,,4,266 pi² (24.71 m²),,"1 341,00 $","162,20 $","373,00 $","753,00 $"
"360, rue Généreux",549 000 $,Berthierville,Lanaudière,5,2,,1,1 305 pi² (121.24 m²),8 212.86 pi² (763 m²),"3 233,00 $","273,32 $","2 435,00 $","1 200,00 $"
"15641, rue Rolland",459 900 $,Mirabel (St-Augustin),Laurentides,4,2,,1,1 000 pi² (92.9 m²),6 881.37 pi² (639.3 m²),"1 400,00 $","230,00 $",,
"1859, rue de Guyenne",545 000 $,Lévis,Québec Rive-Sud (Lévis),3,1,1,2,1 800.72 pi² (167.29 m²),4 302.92 pi² (399.75 m²),"3 697,51 $","369,75 $",,
"2623-2, chemin du Plateau Nord",149 900 $,La Baie,Saguenay-Lac-Saint-Jean,3,1,1,1,900 pi² (83.61 m²),7 000 pi² (650.32 m²),"1 531,00 $","69,08 $","1 200,00 $",
"5395, rue de Cherbourg",424 000 $,Trois-Rivières (Trois-Rivières-Ouest),Mauricie,4,2,,3,1 042.27 pi² (96.83 m²),6 200.01 pi² (576 m²),"2 715,00 $","165,00 $","2 640,00 $","1 300,00 $"
"298, chemin des Bains",649 000 $,St-Irenee,Charlevoix,3,1,1,2,1 400 pi² (130.06 m²),6 139.73 pi² (570.4 m²),"3 610,75 $","310,69 $","1 800,00 $","798,00 $"
"4997, chemin Durocher",159 000 $,Ste-Agathe-Des-Monts,Laurentides,,,,,,84 723 pi² (7 871.02 m²),"441,61 $","21,91 $",,
"7, rue Warren",295 000 $,Sherbrooke (Lennoxville),Estrie,3,1,,2,1 440.43 pi² (133.82 m²),104.33x201.05 pi (31.8x61.28 m),"2 038,11 $","125,35 $","3 029,00 $",
"210, rue Émélie-Bolduc",260 000 $,Ste-Émélie-De-L'Énergie,Lanaudière,3,1,,1,750 pi² (69.68 m²),7 650 pi² (710.71 m²),"1 883,00 $","70,77 $","1 759,68 $",
"850, rue Atateken",829 000 $,Ville-Marie (Centre-Ville et Vieux-Montréal),Montréal / l'Île,3,1,1,2,1 660 pi² (154.22 m²),,"4 646,33 $","614,48 $","1 394,48 $",
"749, PLACE DE QUÉNÉBLAY",449 500 $,Roxton Pond,Estrie,3,2,,1,1 010 pi² (93.83 m²),37.9x151.1 pi (11.55x46.06 m),"2 370,00 $","230,00 $","1 377,00 $","840,00 $"
"1507, rue Marcel-Marcotte",715 000 $,Sherbrooke (Rock Forest),Estrie,4,1,1,2,2 730 pi² (253.63 m²),6 600 pi² (613.16 m²),"4 289,05 $","341,17 $","2 552,08 $","1 450,00 $"
"538-540, rue Colbert",471 000 $,Sherbrooke (Rock Forest),Estrie,4,2,,,,7 900 pi² (733.93 m²),"4 984,00 $","278,30 $","960,00 $","650,00 $"
"41-43-45, rue de la Petite-Rivière",679 000 $,Lavaltrie,Lanaudière,9,3,,,,6 657 pi² (618.46 m²),"6 127,00 $","412,00 $",,"1 500,00 $"
"798, boulevard des Seigneurs-Dumont",350 000 $,St-Jérôme (St-Jérôme),Laurentides,2,1,,2,1 241 pi² (115.29 m²),,"2 087,72 $","181,40 $",,
"32, RUE EMILE-ZOLA",550 000 $,Gatineau (Aylmer),Outaouais,4,2,,1,1 138 pi² (105.72 m²),8 624.05 pi² (801.2 m²),"4 094,00 $","302,41 $","1 680,00 $","766,00 $"
Unité 608 - 7480 Boulevard Taschereau,492 000 $,Brossard,Montérégie (Rive-Sud Montréal),2,2,,1,811 pi² (75.34 m²),,,,,
"13, rue Flaubert",22 $,Lévis,Québec Rive-Sud (Lévis),,,,,,10 465 pi² (972.23 m²),"3 099,00 $","143,00 $",,
"2760, boulevard Thibeau",378 000 $,Trois-Rivières (St-Louis-De-France),Mauricie,4,2,,2,2 224 pi² (206.62 m²),14 281 pi² (1 326.75 m²),"2 742,13 $","165,00 $","165,16 $","767,00 $"
"796, rue du Fleuve",869 000 $,Rimouski (Pointe-Au-Père),Bas-Saint-Laurent,7,4,1,2,3 360 pi² (312.15 m²),16 338.54 pi² (1 517.9 m²),"5 560,70 $","466,88 $","2 400,60 $",
"710, avenue du Brabant",790 000 $,Ste-Foy,Québec Rive-Nord,12,5,,,,"8,662 pi² (804.73 m²)","7 764,00 $","640,00 $","2 136,00 $",
"12-1270, boulevard de Montarville",498 000 $,Boucherville,Montérégie (Rive-Sud Montréal),3,1,1,2,1 377 pi² (127.93 m²),2 655 pi² (246.66 m²),"2 222,00 $","285,00 $","1 400,00 $",
"2143, BOUL JEAN-PAUL-VINCENT",332 000 $,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),2,1,1,1,864.34 pi² (80.3 m²),,"1 978,00 $","192,82 $",,
"130, rue Claude-Faille",839 000 $,La Prairie,Montérégie (Rive-Sud Montréal),5,2,1,2,1 763 pi² (163.79 m²),5 592 pi² (519.51 m²),"3 889,53 $","526,20 $","2 420,00 $","1 195,00 $"
"3, chemin de la Promenade",895 000 $,Lac-Beauport,Québec Rive-Nord,5,1,1,2,1 689.93 pi² (157 m²),6 920.12 pi² (642.9 m²),"4 652,00 $","262,00 $","1 600,00 $",
"145, rue Jean-Guy",280 000 $,St-Étienne-De-Beauharnois,Montérégie (Rive-Sud Montréal),,,,,,30 865 pi² (2 867.45 m²),"890,00 $","74,00 $",,
"755, boulevard Jacques-Cartier Nord",489 000 $,Sherbrooke (Jacques-Cartier),Estrie,2,1,2,2,1 867 pi² (173.45 m²),4 964 pi² (461.17 m²),"3 029,00 $","226,00 $","1 783,00 $","591,00 $"
"149, rue Saint-Charles",249 200 $,Maskinonge,Mauricie,4,1,1,2,2 303.48 pi² (214 m²),10 826.66 pi² (1 005.83 m²),"1 125,46 $","31,02 $","2 700,00 $","1 395,00 $"
"24, rue de la Randonnée",718 000 $,Boischatel,Québec Rive-Nord,4,2,1,2,1 883.68 pi² (175 m²),6 022 pi² (559.46 m²),"4 743,46 $","414,79 $","2 200,00 $",
"311, rue de Yamaska",699 000 $,Bromont,Estrie,4,1,2,3,2 052 pi² (190.64 m²),5 042 pi² (468.42 m²),"2 727,61 $","258,23 $","1 200,00 $",
574 rue René-Richard,320 697 $,St-Étienne-De-Lauzon,Québec Rive-Sud (Lévis),2,1,1,2,,4 443 pi² (412.77 m²),,,,
"2-635, rue des Sureaux",799 000 $,Boucherville,Montérégie (Rive-Sud Montréal),3,1,1,1,1 766 pi² (164.07 m²),785 870.57 pi² (73 009.76 m²),"3 723,76 $","509,96 $","702,45 $","426,19 $"
"341-2, boulevard Bélanger",284 990 $,Beaupré,Québec Rive-Nord,2,1,,2,789 pi² (73.3 m²),2 128 pi² (197.7 m²),"1 656,00 $","109,00 $","660,00 $",
