Adresse,Prix,Ville,Région,Chambres,Salles de bain,Salles d'eau,Étages,Aire habitable,Taille terrain,Taxes municipales,Taxes scolaires,Électricité,Assurances
"10120, avenue du Patrimoine-Mondial",609 500 $,Lebourgneuf,Québec Rive-Nord,3,,1,2,1 582 pi²,,"5 140,00 $","459,00 $","1 351,00 $",
"543, rue Neault",699 000 $,St-Maurice,Mauricie,3,,,1,2 932 pi²,,,,,
"3, rue Brière",549 000 $,Danville,Estrie,4,1,1,2,2 016 pi²,,"3 892,00 $","314,00 $","3 678,00 $",
"181, rue du Contour",479 000 $,Orford,Estrie,2,1,1,2,950 pi²,,"1 660,82 $","167,84 $","1 980,00 $","389,00 $"
"203-1805, boulevard du Tricentenaire",395 000 $,Pointe-Aux-Trembles / Montréal-Est,Montréal / l'Île,3,1,,1,1 187.58 pi²,,"1 680,98 $","179,84 $","1 200,00 $",
"435, rue Raymond",98 500 $,Degelis,Bas-Saint-Laurent,7,1,1,2,2 323.93 pi²,,"2 075,00 $","81,09 $",,
"200-857, Gustave-Guertin",459 900 $,Joliette,Lanaudière,2,1,1,1,1 315 pi²,,"4 115,00 $","248,00 $","867,00 $","506,00 $"
"195, impasse Henri",278 000 $,Gatineau (Buckingham),Outaouais,3,1,1,2,1 227.09 pi²,,"1 979,00 $","424,00 $",,
"1112, RUE BORDELEAU",445 000 $,Trois-Rivières (Cap-De-La-Madeleine),Mauricie,3,,,2,1 423 pi²,,,,,
"1256, RUE DU HAVRE",700 000 $,Mascouche,Lanaudière,4,,1,2,1 765 pi²,,"4 439,84 $","409,37 $",,
"342, rue Antoine-Picard",259 000 $,St-Jean-Port-Joli,Chaudière-Appalaches,2,1,1,1,667 pi²,,,,,
"1199, chemin du Rucher",449 999 $,Chertsey,Lanaudière,2,1,,1,832 pi²,,,,,
"3-46, rue Marie-Victorin",345 000 $,St-Eustache,Laurentides,2,1,,2,996 pi²,,"2 149,16 $","178,12 $","630,00 $",
"19, Marielle-Primeau",567 000 $,Mercier,Montérégie (Rive-Sud Montréal),4,,,1,1 243 pi²,,"2 997,18 $","265,40 $","1 872,00 $","856,00 $"
"2249, rue de la Salamandre",539 000 $,Ste-Marthe-Sur-Le-Lac,Laurentides,4,1,1,2,1 291.67 pi²,,"2 712,00 $","273,00 $","1 560,00 $",
", chemin du Loup",68 800 $,St-Côme-Linière,Chaudière-Appalaches,,,,,,,,,,
"755, rue de l'Héritage",499 000 $,Trois-Rivières (Pointe-Du-Lac),Mauricie,4,,,1,1 180.80 pi²,,"4 602,68 $","259,37 $",,
"101-361, rue McDuff","538 377,90 $",Ste-Julie,Montérégie (Rive-Sud Montréal),2,,,1,1 280 pi²,,,,,
"201-144, boulevard de Bromont",615 000 $,Bromont,Estrie,3,,1,2,144.8 pi²,,"335,03 $","33,03 $","31,17 $",
"905, route 117",239 500 $,Val-David,Laurentides,,,,,,,,,,
"1170, rue du Bourgeois",435 000 $,St-Rédempteur,Québec Rive-Sud (Lévis),4,,,1,2 240 pi²,,"3 102,91 $","274,19 $","2 972,16 $",
"1072, RUE DE DESCOUDET",569 000 $,Terrebonne (Terrebonne),Lanaudière,3,1,1,3,1 556 pi²,,"3 273,83 $","304,97 $","2 242,03 $",
"6003-6005, rue de la Frontière",695 000 $,Sherbrooke (Rock Forest),Estrie,3,1,,,,,"3 097,58 $","263,00 $",,"1 375,50 $"
"51, rue Argyll",685 000 $,Sherbrooke (Jacques-Cartier),Estrie,3,,1,2,1 491.23 pi²,,"3 491,25 $","226,06 $",,"1 808,31 $"
"465, rue de la Réserve",595 000 $,St-Lucien,Centre-du-Québec,4,,,2,1 485 pi²,,"831,00 $","48,00 $","1 493,00 $",
"603, Denise-collette",799 000 $,Ste-Julie,Montérégie (Rive-Sud Montréal),2,,1,2,1 851 pi²,,,,,
"402-440, AV DE LA BELLE-DAME",479 000 $,La Prairie,Montérégie (Rive-Sud Montréal),2,1,,1,1 135 pi²,,"2 211,01 $","264,33 $","504,57 $",
"82, Carré Denise-Pelletier",643 755 $,Terrebonne (Terrebonne),Lanaudière,4,1,1,3,1 600 pi²,,,,,
"675, avenue Duquesne",419 000 $,St-Hyacinthe (Douville),Montérégie (Rive-Sud Montréal),4,,,1,976 pi²,,"2 469,94 $","214,64 $","1 874,52 $",
"3-321, rue Saint-Jean-Baptiste",298 000 $,Rimouski (Rimouski),Bas-Saint-Laurent,2,1,1,1,1 000 pi²,,"2 511,37 $","170,37 $","70,00 $",
"13, rue des Florins",859 000 $,Blainville,Laurentides,4,,1,2,1 820 pi²,,"3 220,00 $","370,00 $","3 900,00 $","2 000,00 $"
"10355, rue du Muscadet",619 900 $,Mirabel (St-Canut),Laurentides,3,,1,1,1 217 pi²,,"2 321,69 $","354,14 $",,
"6090047, chemin de la Pointe-des-Monts",48 000 $,Baie-Trinite,Côte-Nord,,,,,,,"386,00 $",,,
"761, Belle Montagne",1 250 000 $,St-Jean-De-Matha,Lanaudière,4,,1,2,2 400 pi²,,,,"2 400,00 $","2 870,00 $"
"6343490, chemin de la Pointe-des-Monts",120 000 $,Baie-Trinite,Côte-Nord,,,,,,,"386,00 $",,,
"201, Rue Provost",419 900 $,St-Michel-Des-Saints,Lanaudière,4,,,2,1 342.99 pi²,,"2 447,83 $","177,77 $","1 780,00 $","1 068,00 $"
"162, RANG SAINTE-MARIE E",725 000 $,Salaberry-De-Valleyfield,Montérégie (Rive-Sud Montréal),3,1,1,2,2 238.89 pi²,,"2 527,06 $","249,65 $","2 396,49 $","1 385,75 $"
"1201, RUE DES TURQUOISES",229 000 $,Charlesbourg,Québec Rive-Nord,2,1,1,2,1 001 pi²,,"1 913,70 $","135,90 $",,
"19, rue des Sommets",55 500 $,St-Severin-De-Beauce,Chaudière-Appalaches,,,,,,,,,,
"103-4600, De la marquise",199 000 $,Trois-Rivières (Trois-Rivières-Ouest),Mauricie,1,1,1,1,636.15 pi²,,"1 923,87 $","80,59 $","600,00 $","360,00 $"
"785, 9e Avenue",898 700 $,Pointe-Aux-Trembles / Montréal-Est,Montréal / l'Île,7,,,,,,"4 823,16 $","520,00 $",,"1 547,80 $"
"1-7070, RUE FABRE",850 000 $,Rosemont / La Petite Patrie,Montréal / l'Île,2,1,,2,1 640 pi²,,"4 380,00 $","566,00 $","1 440,00 $","1 040,00 $"
Unité 304 - 7480 Boulevard Taschereau,414 900 $,Brossard,Montérégie (Rive-Sud Montréal),1,1,,1,708 pi²,,,,,
"427, RTE 161",219 900 $,Saints-Martyrs-Canadiens,Centre-du-Québec,2,1,,2,1 560 pi²,,"1 100,00 $","44,00 $",,
"38, rue de la Grande-Place",450 000 $,Victoriaville,Centre-du-Québec,2,,1,2,1 945 pi²,,"4 200,00 $","365,00 $",,
"64, impasse de la Coulée",719 000 $,Cantley,Outaouais,4,,,2,1 870 pi²,,"4 253,00 $","403,00 $",,
"5809923, chemin du Lac-Kiamika",125 000 $,Rivière-Rouge (Ste-Véronique),Laurentides,,,,,,,"732,45 $","21,44 $",,
"1690, rue des Hérons",415 000 $,Chicoutimi (Chicoutimi),Saguenay-Lac-Saint-Jean,4,,,1,1 200 pi²,,"3 612,00 $","219,00 $","2 782,00 $",
"1385, rue de la Trinité",358 500 $,Limoilou,Québec Rive-Nord,3,1,,1,,,"2 759,00 $","216,00 $","1 560,00 $",
"83, rue Daguerre",360 000 $,Candiac,Montérégie (Rive-Sud Montréal),2,1,,1,888.02 pi²,,"1 949,82 $","170,65 $","768,00 $",
"5, rue Faucher",580 000 $,Dosquet,Chaudière-Appalaches,3,,,1,180.4 pi²,,"3 110,79 $","520,00 $",,"2 000,00 $"
"56, place Radisson",589 900 $,St-Bruno-De-Montarville,Montérégie (Rive-Sud Montréal),3,1,1,1,1 040 pi²,,"2 211,06 $",,"1 200,00 $",
"C1-44, rang Petit Beloeil",97 500 $,St-Côme,Lanaudière,,,,,,,,,,
"212-512, COTE DE L'EGLISE",176 000 $,Boischatel,Québec Rive-Nord,1,1,1,4,700 pi²,,"2 400,00 $","200,00 $","600,00 $",
"111, rue de Courmayeur",549 000 $,St-David-de-Falardeau,Saguenay-Lac-Saint-Jean,3,1,1,1,1 092 pi²,,"2 517,53 $","235,83 $","2 191,92 $","1 493,00 $"
"105, rue Alexanne",650 000 $,Ste-Sophie,Laurentides,4,,1,2,2 185 pi²,,"3 590,00 $","399,00 $","3 980,00 $","1 320,00 $"
"101-4365, boulevard Saint-Michel",439 000 $,Rosemont / La Petite Patrie,Montréal / l'Île,2,1,,1,900 pi²,,,,"600,00 $",
"1620, rue Saint-Pierre Sud",429 000 $,Joliette,Lanaudière,2,1,1,2,1 222 pi²,,"2 325,48 $","193,30 $","1 680,00 $","654,27 $"
100 chemin des Diligences,839 000 $,Bromont,Estrie,3,,,2,,,,,,
"3059, AV DU MONT-ROYAL E",650 000 $,Rosemont / La Petite Patrie,Montréal / l'Île,3,1,,1,1 173 pi²,,"3 656,38 $","436,00 $",,
"360, RUE PRINCIPALE",375 000 $,St-Pierre-De-La-Riviere-Du-Sud,Chaudière-Appalaches,3,,,2,28x42 pi,,"3 182,00 $","171,00 $","1 600,00 $","600,00 $"
rue Lalonde,625 000 $,Mercier,Montérégie (Rive-Sud Montréal),3,1,1,2,2 151 pi²,,,,,
"115, avenue Alexina",875 000 $,Pointe-Claire,Montréal / l'Île,4,,1,4,2 050 pi²,,"5 344,00 $","599,00 $","2 620,00 $",
"1745, rue de Chambord",425 000 $,Sherbrooke (Fleurimont),Estrie,6,,,1,1 120 pi²,,"2 633,00 $","187,00 $","2 820,00 $",
"1, MONTEE ROBINSON",575 000 $,St-Sixte,Outaouais,4,,1,3,3 500 pi²,,"2 000,00 $","210,00 $","2 890,00 $",
"12, rue Potvin",385 000 $,Salaberry-De-Valleyfield,Montérégie (Rive-Sud Montréal),4,1,1,1,1 176 pi²,,"2 181,00 $","166,77 $","1 300,00 $",
"308-9300, avenue Bourret",186 000 $,Charlesbourg,Québec Rive-Nord,2,1,,1,960 pi²,,"1 623,00 $","106,00 $","2 500,00 $","900,00 $"
"1106-5700, boulevard Cavendish",292 000 $,Côte-St-Luc / Hampstead / Montréal-Ouest,Montréal / l'Île,2,1,,1,674.90 pi²,,"1 460,60 $","123,64 $","297,00 $","400,00 $"
"227, terrasse Dominique",409 000 $,St-Amable,Montérégie (Rive-Sud Montréal),3,1,1,2,900 pi²,,"2 439,00 $","625,00 $","684,00 $","1 700,00 $"
"17, rue du Débusquage",508 900 $,Gatineau (Gatineau),Outaouais,3,1,1,2,1 342 pi²,,,,,
"607, rue Denise-Collette",586 000 $,Ste-Julie,Montérégie (Rive-Sud Montréal),2,,1,2,1 338 pi²,,,,,
rue Guy-Linteau,364 900 $,Ste-Catherine-de-la-JC,Québec Rive-Nord,5,1,1,2,1 152 pi²,,,,,
rue des Sables,342 400 $,Ste-Catherine-de-la-JC,Québec Rive-Nord,2,1,,1,952 pi²,,,,,
"1135, rue du Campanile",349 900 $,Drummondville (Drummondville),Centre-du-Québec,4,,,1,1 102 pi²,,,,,
"1190, rue du Campanile",399 900 $,Drummondville (Drummondville),Centre-du-Québec,2,1,,1,1 260 pi²,,,,,
"8732, RUE JEAN-BERNARD",418 000 $,Lebourgneuf,Québec Rive-Nord,4,,1,2,1 250 pi²,,"3 201,00 $","260,00 $",,
"218, Rue Flamand",298 000 $,Joliette,Lanaudière,6,,1,,,,"2 117,11 $","141,11 $",,"2 053,44 $"
"245, 2e Rang Est",310 000 $,Ste-Luce (Luceville),Bas-Saint-Laurent,5,,,1,1 120 pi²,,"2 600,00 $","197,00 $",,
"215-2303, Wilfrid-Reid",795 000 $,Saint-Laurent,Montréal / l'Île,3,,,2,1 448 pi²,,"3 500,00 $","500,00 $","450,00 $",
"15, Des Argousiers",350 000 $,St-Étienne-De-Lauzon,Québec Rive-Sud (Lévis),4,,,1,934 pi²,,"2 400,00 $","200,00 $","2 500,00 $",
"96, avenue des Laurentides",459 000 $,Bois-Des-Filion,Laurentides,3,1,1,3,1 165 pi²,,"2 562,59 $","202,74 $","1 392,00 $","1 200,00 $"
"406-3500, RUE RACHEL E",639 000 $,Rosemont / La Petite Patrie,Montréal / l'Île,2,1,1,2,975 pi²,,"3 220,00 $","200,00 $","500,00 $",
"17, Rix",425 000 $,Bedford,Estrie,4,,,2,1 482 pi²,,"2 453,28 $","181,08 $","1 839,24 $","1 217,53 $"
"120, Place Henri-Rybicki",284 500 $,St-Joseph-Du-Lac,Laurentides,2,1,,1,831 pi²,,"1 649,00 $","135,00 $","732,00 $","429,00 $"
"8176, Roche-Sur-Yon",510 000 $,Anjou,Montréal / l'Île,4,1,1,2,1 668 pi²,,"3 807,41 $","397,82 $","1 513,37 $",
"10-124, RUE LAPOINTE",299 000 $,Repentigny (Repentigny),Lanaudière,2,1,,1,,,"1 711,05 $","115,92 $",,
"208-6363, boulevard Saint-Laurent",600 000 $,Rosemont / La Petite Patrie,Montréal / l'Île,2,1,,1,1 058 pi²,,"2 750,00 $","350,00 $","300,00 $","400,00 $"
"658, rue du Mont-Brome",290 000 $,Granby,Estrie,2,1,1,1,1 077.47 pi²,,"1 760,00 $","130,00 $","726,00 $",
"140, rue Beaudrier",389 000 $,Beauport,Québec Rive-Nord,4,,1,2,883.7 pi²,,"2 776,00 $","225,00 $","1 000,00 $",
"33, rue Hélène-Laframboise",1 015 000 $,Shefford,Estrie,3,,1,2,1 922 pi²,,"3 703,00 $","451,93 $","2 165,00 $",
"208-1815, 25e Rue",275 500 $,Limoilou,Québec Rive-Nord,1,1,1,2,820.21 pi²,,"2 398,25 $","173,19 $","980,00 $","334,63 $"
"6-3090, rue Arthur-Houle",460 000 $,Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),3,1,1,2,1 177 pi²,,"2 350,00 $","231,74 $","1 320,00 $","650,00 $"
"160, place le Baron",205 000 $,Vimont,Laval,2,1,,1,1 000 pi²,,"1 305,00 $","100,00 $","1 500,00 $",
"5017, rue Turcot",449 000 $,Le Sud-Ouest,Montréal / l'Île,2,1,,1,707 pi²,,"2 246,20 $","271,66 $",,
"204-800, rue de Vimy",330 000 $,Sherbrooke (Jacques-Cartier),Estrie,2,1,,1,1 187 pi²,,"2 258,19 $","160,42 $","550,00 $",
1077-1079,844 900 $,L'Assomption,Lanaudière,5,,,1,3 428 pi²,,"5 984,00 $","426,00 $",,
"660, 9e Rang",619 999 $,St-Dominique,Montérégie (Rive-Sud Montréal),3,1,,1,1 845 pi²,,"2 546,65 $","310,10 $","2 810,00 $",
chemin du Gouverneur Duquesne,235 000 $,Rivière-à-Pierre,Portneuf,,,,,,,,,,
"717-2120, rue Sainte-Catherine Est",380 000 $,Ville-Marie (Centre-Ville et Vieux-Montréal),Montréal / l'Île,1,1,,1,581 pi²,,,,,
"2597, rue de la Garonne",254 000 $,Trois-Rivières (Trois-Rivières-Ouest),Mauricie,2,1,,1,"1,140 pi²",,"2 365,65 $","117,86 $","840,00 $",
"400, 1er Rang Est",595 000 $,St-Odilon,Chaudière-Appalaches,4,,,1,1 926 pi²,,"3 700,00 $","241,00 $","1 340,00 $","1 260,00 $"
"708-4500, CH DE LA COTE-DES-NEIGES",498 000 $,Côte-des-Neiges / Notre-Dame-de-Grâce,Montréal / l'Île,1,,,1,837 pi²,,"2 974,29 $","377,78 $","435,00 $",
"524, avenue Joseph-Giffard",489 000 $,Beauport,Québec Rive-Nord,3,1,1,1,1 340 pi²,,"3 314,00 $","288,00 $","1 596,00 $","832,00 $"
"1215C-677, 12e Avenue Nord",279 900 $,Sherbrooke (Fleurimont),Estrie,2,1,,1,998 pi²,,"2 124,00 $","140,00 $","1 100,00 $",
"1193, rue Cowie",489 000 $,Granby,Estrie,6,,,,,,"2 934,00 $","243,00 $",,
"11, rue de Forges",579 000 $,Candiac,Montérégie (Rive-Sud Montréal),4,1,1,2,1 330 pi²,,"2 715,63 $","322,09 $","2 000,00 $",
"685, rue Egan",749 000 $,Verdun,Montréal / l'Île,3,1,,,,,"3 900,00 $","891,08 $",,
"371, rue Berri",1 165 000 $,Ville-Marie (Centre-Ville et Vieux-Montréal),Montréal / l'Île,3,,1,3,1 667.01 pi²,,"6 278,44 $","848,88 $","2 000,00 $","1 528,65 $"
178-180-182 rue Saint-Joseph,429 000 $,St-Damase,Montérégie (Rive-Sud Montréal),7,,,,,,"3 016,11 $","227,97 $",,"2 996,66 $"
"304-85, avenue de l'Hôtel-de-Ville",849 000 $,Bromont,Estrie,3,,,1,1 404 pi²,,"4 020,32 $","396,40 $","374,00 $",
"1167, Boul Maisonneuve",365 000 $,St-Jérôme (Bellefeuille),Laurentides,2,1,,1,975 pi²,,"2 124,24 $","169,95 $","721,56 $","501,70 $"
6341-6343 rue Cartier,930 000 $,Rosemont / La Petite Patrie,Montréal / l'Île,5,,,,,,"5 043,00 $","649,00 $","2 400,00 $",
"524-20, rue des Jardins-Mérici",595 000 $,Montcalm,Québec Rive-Nord,2,,,1,1 365 pi²,,"4 558,55 $","410,93 $","544,08 $","723,00 $"
"418-680, RUE DE COURCELLE",429 000 $,Le Sud-Ouest,Montréal / l'Île,2,1,,1,813.75 pi²,,"2 475,00 $","300,00 $",,
"38, rue Belisle",429 900 $,St-André-Avellin,Outaouais,4,,1,1,1 060 pi²,,"3 401,63 $","211,72 $","1 200,00 $",
"4845, rue du Sourcin",439 000 $,St-Augustin-De-Desmaures,Québec Rive-Nord,4,,,1,1 074 pi²,,"3 642,67 $","293,52 $","1 980,00 $","770,00 $"
"700, rue Rouillier",531 332 $,La Prairie,Montérégie (Rive-Sud Montréal),4,,1,2,1 986 pi²,,,,,
"xx, Rue Voyer",65 000 $,St-Basile-De-Portneuf,Portneuf,,,,,,,"466,23 $","26,85 $",,
"400, Boul Carmel",699 900 $,Terrebonne (Terrebonne),Lanaudière,4,,1,2,,,"4 289,00 $","364,00 $",,
rue d'Ambre,599 000 $,Candiac,Montérégie (Rive-Sud Montréal),2,1,1,3,1 730 pi²,,,,,
"1570, rue Soucy",710 000 $,Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),,,,,,,"3 961,39 $","118,26 $",,"950,00 $"
"10, Montée du Parc",331 372 $,Château-Richer,Québec Rive-Nord,2,1,1,1,640 pi²,,,,,
"470, cours du Chevreuil",459 000 $,Drummondville (St-Charles-De-Drummond),Centre-du-Québec,4,,,1,1 048.40 pi²,,"2 890,03 $","183,80 $","256,58 $",
"634, rue d'Hochelaga",350 000 $,Sherbrooke (Rock Forest),Estrie,2,,,1,720 pi²,,"2 394,74 $","169,78 $","1 350,14 $","624,06 $"
"41-28, chemin du Hameau",228 500 $,Stoneham,Québec Rive-Nord,1,1,,1,446 pi²,,"2 521,00 $","89,00 $","860,00 $","461,00 $"
"12, rue Paul",699 000 $,Val-Des-Monts (Perkins),Outaouais,4,,1,1,1 380 pi²,,"4 020,81 $","342,98 $",,
"1196, rue Bénoni-Robert",615 000 $,Beloeil,Montérégie (Rive-Sud Montréal),3,1,1,2,1 380 pi²,,"4 077,00 $","378,00 $","1 250,00 $","1 432,00 $"
"133-133A, place Vachon",469 000 $,Lachute,Laurentides,5,,,2,,,"3 902,71 $","251,75 $",,
"104-2025, Allée du Val de Bagnes",810 000 $,Mont-Tremblant,Laurentides,2,,,1,1 285 pi²,,"50,00 $","50,00 $",,"617,00 $"
"10, rue de la Falaise",525 000 $,Beaumont,Chaudière-Appalaches,2,1,1,1,830 pi²,,"3 510,00 $","335,00 $",,
"703-4960, rue Honoré-Beaugrand",1 245 000 $,St-Augustin-De-Desmaures,Québec Rive-Nord,3,,,1,2 322 pi²,,"7 184,00 $","644,00 $","2 200,00 $",
"662, avenue Clarence-Gagnon",419 900 $,Mercier / Hochelaga / Maisonneuve,Montréal / l'Île,3,1,,1,1 100 pi²,,"1 640,00 $","160,00 $","624,00 $","720,00 $"
"912, croissant du Jaseur",425 000 $,Magog,Estrie,3,1,1,1,895 pi²,,"2 500,00 $","172,00 $","800,00 $","500,00 $"
"8110, avenue Arlington",799 000 $,Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),4,,1,2,1 410 pi²,,"4 798,32 $","390,92 $","2 150,00 $","1 443,24 $"
"16105, boul Valcartier",539 000 $,Loretteville,Québec Rive-Nord,3,,,1,1 200 pi²,,"3 320,40 $","289,31 $","1 076,65 $",
"115-2540, avenue Champfleury",312 500 $,Charlesbourg,Québec Rive-Nord,3,1,1,2,1 238.06 pi²,,"2 619,83 $","202,06 $","890,00 $","334,63 $"
"104-1375, boulevard Alexis-Nihon",559 000 $,Saint-Laurent,Montréal / l'Île,2,1,,1,1 153 pi²,,"2 740,37 $","654,29 $",,
"788, rue Samuel-de-Champlain",934 000 $,Boucherville,Montérégie (Rive-Sud Montréal),4,,1,2,1 976 pi²,,"3 395,63 $","496,26 $","2 175,48 $",
"590, rue d'Éverell",269 900 $,Beauport,Québec Rive-Nord,2,1,,1,1 092.54 pi²,,"2 256,00 $","171,00 $","1 080,00 $","467,00 $"
"2109-3535, Avenue Papineau",325 000 $,Le Plateau-Mont-Royal,Montréal / l'Île,1,1,,1,602 pi²,,"1 625,06 $","191,39 $","300,00 $","500,00 $"
"336, rue John-Ryan",1 048 900 $,St-Colomban,Laurentides,3,,1,1,2 880 pi²,,,,,
"1731, avenue de la Gare",329 800 $,Mascouche,Lanaudière,2,1,,1,964 pi²,,,,,
"1745, avenue de la Gare",324 988 $,Mascouche,Lanaudière,2,1,,1,906 pi²,,,,,
"33-35, rue Eastern",429 000 $,Salaberry-De-Valleyfield,Montérégie (Rive-Sud Montréal),3,1,1,,,,"3 211,21 $","215,00 $",,"2 209,46 $"
"7972, rue Boyer",444 000 $,Villeray / St-Michel / Parc-Extension,Montréal / l'Île,2,1,,1,1 064 pi²,,"5 445,55 $","689,76 $","1 140,00 $","1 626,00 $"
"99, chemin du Lac-la-Retenue Sud",395 000 $,L'Ange-Gardien,Québec Rive-Nord,3,1,,1,766 pi²,,"2 137,00 $","220,00 $","1 938,00 $","642,00 $"
"21, CH DE L'AMOUREUX",130 000 $,St-Adolphe-D'Howard,Laurentides,,,,,,,"208,56 $",,,
"4-475, rue Saint-Jean",389 000 $,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),2,1,1,1,945 pi²,,"2 035,56 $","199,27 $","765,00 $","557,00 $"
"301-1600, rue Saint-Louis",595 000 $,Saint-Laurent,Montréal / l'Île,2,,,1,1 144 pi²,,"2 696,09 $","320,42 $","1 440,79 $",
"1508, rue Mercier",309 500 $,Baie-Comeau,Côte-Nord,5,,1,1,1 011.81 pi²,,,,,
"441, rue des Mille-Abeilles",325 000 $,Sherbrooke (Mont-Bellevue),Estrie,2,,,1,730.87 pi²,,"2 259,36 $","152,63 $","1 210,29 $",
"841, chemin du Lac de l'Achigan",799 000 $,St-Hippolyte,Laurentides,2,,,2,1 170 pi²,,"3 158,42 $","373,26 $","1 364,00 $","600,00 $"
"33, avenue des Légendes",615 000 $,Roxton Pond,Estrie,3,1,1,1,1 292 pi²,,"822,00 $","50,00 $","190,00 $","85,00 $"
"93, chemin du Lac",425 000 $,St-Antonin,Bas-Saint-Laurent,3,1,1,2,1 163 pi²,,"3 000,00 $","200,00 $","2 160,00 $","890,00 $"
"3016, chemin Saint-Charles",1 195 000 $,Terrebonne (Lachenaie),Lanaudière,5,,,2,4 776 pi²,,"5 825,00 $","548,00 $","4 200,00 $","2 856,00 $"
"55, rue du Soleil",1 485 000 $,St-Hippolyte,Laurentides,3,,1,2,2 737 pi²,,"2 973,11 $","339,67 $","2 580,00 $","1 900,00 $"
"192, Deshaies",399 999 $,ND-Des-Prairies,Lanaudière,3,1,1,1,1 908.44 pi²,,"2 418,44 $","195,00 $","1 365,00 $","713,00 $"
route du 2e au 4e rang,160 000 $,New Richmond,Gaspésie-Îles-de-la-Madeleine,,,,,,,"450,00 $","11,00 $",,
"1971, rang de la Rivière Nord",735 000 $,Ste-Élisabeth,Lanaudière,3,,,2,1 566 pi²,,"2 681,53 $","241,37 $","1 800,00 $",
